timestamp,account_value,date,time
2025-10-01T05:37:08.710161,352516.22,2025-10-01,05:37:08
2025-10-01T05:37:25.469216,352511.12,2025-10-01,05:37:25
2025-10-01T05:37:28.663323,352511.12,2025-10-01,05:37:28
2025-10-01T05:37:29.805151,352511.12,2025-10-01,05:37:29
2025-10-01T05:37:37.088901,352511.12,2025-10-01,05:37:37
2025-10-01T05:37:43.228125,352513.62,2025-10-01,05:37:43
2025-10-01T05:37:44.037381,352513.62,2025-10-01,05:37:44
2025-10-01T05:37:44.860909,352513.62,2025-10-01,05:37:44
2025-10-01T05:37:46.582473,352511.12,2025-10-01,05:37:46
2025-10-01T05:37:47.990493,352511.12,2025-10-01,05:37:47
2025-10-01T05:41:01.647164,352475.22,2025-10-01,05:41:01
2025-10-01T05:41:04.731896,352475.22,2025-10-01,05:41:04
2025-10-01T05:41:05.727070,352475.22,2025-10-01,05:41:05
2025-10-01T05:41:14.217291,352475.22,2025-10-01,05:41:14
2025-10-01T05:41:21.862125,352475.22,2025-10-01,05:41:21
2025-10-01T05:41:23.111553,352475.22,2025-10-01,05:41:23
2025-10-01T05:41:24.256791,352475.22,2025-10-01,05:41:24
2025-10-01T05:41:26.174979,352475.22,2025-10-01,05:41:26
2025-10-01T05:41:28.471083,352475.22,2025-10-01,05:41:28
2025-10-01T05:43:02.885065,352491.32,2025-10-01,05:43:02
2025-10-01T05:43:05.711552,352505.32,2025-10-01,05:43:05
2025-10-01T05:43:07.011851,352505.32,2025-10-01,05:43:07
2025-10-01T05:43:15.311704,352505.32,2025-10-01,05:43:15
2025-10-01T05:43:22.831849,352505.32,2025-10-01,05:43:22
2025-10-01T05:43:24.030229,352505.32,2025-10-01,05:43:24
2025-10-01T05:43:25.264331,352505.32,2025-10-01,05:43:25
2025-10-01T05:43:27.243985,352505.32,2025-10-01,05:43:27
2025-10-01T05:43:29.164975,352505.32,2025-10-01,05:43:29
